Threshold,Metric,Mean,Standard Deviation
5,positives,15.664,19.24438183755839
5,negatives,19.922666666666668,22.627874708877915
5,n_groups_diff_bioactivity,14.325333333333333,17.513779380242166
10,positives,26.155619596541786,24.362009450290245
10,negatives,31.99135446685879,28.680368004155017
10,n_groups_diff_bioactivity,23.824207492795388,22.209998572289464
20,positives,41.455128205128204,29.75455355744415
20,negatives,49.73717948717949,35.04414030987062
20,n_groups_diff_bioactivity,37.48717948717949,27.37328275467846
30,positives,55.30681818181818,33.54611098433705
30,negatives,66.4090909090909,38.841450889610584
30,n_groups_diff_bioactivity,50.03409090909091,31.008507866125942
50,positives,87.03125,38.324997632725136
50,negatives,103.15625,43.15845476545628
50,n_groups_diff_bioactivity,78.3125,36.71462528308602
