threshold,target_idx,n_stereoisomer_groups,n_stereoisomer_positives,n_stereoisomer_negatives,n_total_actives,stereoisomer_positives,stereoisomer_negatives,positive_smiles,negative_smiles
3,657,1,3,3,214,"{'QJYNZEYHSMRWBK-QWDWZKMOSA-N', 'QJYNZEYHSMRWBK-QEMVGVRBSA-N', 'QJYNZEYHSMRWBK-FSMZTTNRSA-N'}","{'QJYNZEYHSMRWBK-HIGXSMTHSA-N', 'QJYNZEYHSMRWBK-HXSHIISNSA-N', 'QJYNZEYHSMRWBK-NIKIMHBISA-N'}","['O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1'
 'O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1'
 'O=C(OC[C@H]1O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1']","['O=C(OC[C@H]1O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1'
 'O=C(OC[C@H]1O[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1'
 'O=C(OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1']"
3,759,1,3,3,1740,"{'XFYWHOCFLQPKMK-PUHABZHSSA-N', 'XFYWHOCFLQPKMK-UNFRKHOWSA-N', 'XFYWHOCFLQPKMK-YVHASNINSA-N'}","{'XFYWHOCFLQPKMK-LJWNLINESA-N', 'XFYWHOCFLQPKMK-KUXCXQDQSA-N', 'XFYWHOCFLQPKMK-VIJSPRBVSA-N'}","['CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@@H]1C(=O)N1[C@H](C(=O)OCc2ccccc2)[C@H]1C(=O)OCc1ccccc1'
 'CC(C)C[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H]1C(=O)N1[C@H](C(=O)OCc2ccccc2)[C@H]1C(=O)OCc1ccccc1'
 'CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H]1C(=O)N1[C@@H](C(=O)OCc2ccccc2)[C@@H]1C(=O)OCc1ccccc1']","['CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@@H]1C(=O)N1[C@@H](C(=O)OCc2ccccc2)[C@@H]1C(=O)OCc1ccccc1'
 'CC(C)C[C@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@H]1C(=O)N1[C@H](C(=O)OCc2ccccc2)[C@H]1C(=O)OCc1ccccc1'
 'CC(C)C[C@@H](NC(=O)OC(C)(C)C)C(=O)N1CCC[C@@H]1C(=O)N1[C@H](C(=O)OCc2ccccc2)[C@H]1C(=O)OCc1ccccc1']"
3,782,1,5,4,1476,"{'FMPNFDSPHNUFOS-YOUYAXGRSA-N', 'FMPNFDSPHNUFOS-LPJDIUFZSA-N', 'FMPNFDSPHNUFOS-LYTIHPTOSA-N', 'FMPNFDSPHNUFOS-YOASDKSVSA-N', 'FMPNFDSPHNUFOS-HAHRSARXSA-N'}","{'FMPNFDSPHNUFOS-WVWGGHRYSA-N', 'FMPNFDSPHNUFOS-BWFBZZGWSA-N', 'FMPNFDSPHNUFOS-YKCJDCANSA-N', 'FMPNFDSPHNUFOS-IKYUPOPPSA-N'}","['C[C@@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3[C@@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@H]12']","['C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](/C=C/[C@@H]3CCC[C@@H](C)N3C)[C@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@H]1CCC[C@H](/C=C/[C@@H]2[C@@H]3[C@@H](C)OC(=O)[C@@H]3C[C@@H]3CCCC[C@H]32)N1C'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@@H]3CCC[C@@H](C)N3C)[C@@H]12']"
3,783,1,6,3,851,"{'FMPNFDSPHNUFOS-YOUYAXGRSA-N', 'FMPNFDSPHNUFOS-LPJDIUFZSA-N', 'FMPNFDSPHNUFOS-LYTIHPTOSA-N', 'FMPNFDSPHNUFOS-YOASDKSVSA-N', 'FMPNFDSPHNUFOS-HAHRSARXSA-N', 'FMPNFDSPHNUFOS-IKYUPOPPSA-N'}","{'FMPNFDSPHNUFOS-WVWGGHRYSA-N', 'FMPNFDSPHNUFOS-BWFBZZGWSA-N', 'FMPNFDSPHNUFOS-YKCJDCANSA-N'}","['C[C@@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3[C@@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@H]12']","['C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](/C=C/[C@@H]3CCC[C@@H](C)N3C)[C@H]12'
 'C[C@H]1CCC[C@H](/C=C/[C@@H]2[C@@H]3[C@@H](C)OC(=O)[C@@H]3C[C@@H]3CCCC[C@H]32)N1C'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@@H]3CCC[C@@H](C)N3C)[C@@H]12']"
3,801,1,4,5,667,"{'FMPNFDSPHNUFOS-WVWGGHRYSA-N', 'FMPNFDSPHNUFOS-BWFBZZGWSA-N', 'FMPNFDSPHNUFOS-LPJDIUFZSA-N', 'FMPNFDSPHNUFOS-YKCJDCANSA-N'}","{'FMPNFDSPHNUFOS-YOUYAXGRSA-N', 'FMPNFDSPHNUFOS-LYTIHPTOSA-N', 'FMPNFDSPHNUFOS-YOASDKSVSA-N', 'FMPNFDSPHNUFOS-HAHRSARXSA-N', 'FMPNFDSPHNUFOS-IKYUPOPPSA-N'}","['C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](/C=C/[C@@H]3CCC[C@@H](C)N3C)[C@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@H]1CCC[C@H](/C=C/[C@@H]2[C@@H]3[C@@H](C)OC(=O)[C@@H]3C[C@@H]3CCCC[C@H]32)N1C'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@@H]3CCC[C@@H](C)N3C)[C@@H]12']","['C[C@@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3[C@@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@H]12']"
3,968,1,4,5,414,"{'FMPNFDSPHNUFOS-WVWGGHRYSA-N', 'FMPNFDSPHNUFOS-BWFBZZGWSA-N', 'FMPNFDSPHNUFOS-LPJDIUFZSA-N', 'FMPNFDSPHNUFOS-YKCJDCANSA-N'}","{'FMPNFDSPHNUFOS-YOUYAXGRSA-N', 'FMPNFDSPHNUFOS-LYTIHPTOSA-N', 'FMPNFDSPHNUFOS-YOASDKSVSA-N', 'FMPNFDSPHNUFOS-HAHRSARXSA-N', 'FMPNFDSPHNUFOS-IKYUPOPPSA-N'}","['C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](/C=C/[C@@H]3CCC[C@@H](C)N3C)[C@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@H]1CCC[C@H](/C=C/[C@@H]2[C@@H]3[C@@H](C)OC(=O)[C@@H]3C[C@@H]3CCCC[C@H]32)N1C'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@@H]3CCC[C@@H](C)N3C)[C@@H]12']","['C[C@@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3[C@@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@H]12']"
3,1261,1,3,6,1707,"{'FMPNFDSPHNUFOS-YOUYAXGRSA-N', 'FMPNFDSPHNUFOS-LPJDIUFZSA-N', 'FMPNFDSPHNUFOS-LYTIHPTOSA-N'}","{'FMPNFDSPHNUFOS-WVWGGHRYSA-N', 'FMPNFDSPHNUFOS-YKCJDCANSA-N', 'FMPNFDSPHNUFOS-YOASDKSVSA-N', 'FMPNFDSPHNUFOS-BWFBZZGWSA-N', 'FMPNFDSPHNUFOS-HAHRSARXSA-N', 'FMPNFDSPHNUFOS-IKYUPOPPSA-N'}","['C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3[C@@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@H]12']","['C[C@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@H]3[C@H](/C=C/[C@@H]3CCC[C@@H](C)N3C)[C@H]12'
 'C[C@@H]1OC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3[C@@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C\\[C@H]3CCC[C@H](C)N3C)[C@@H]12'
 'C[C@H]1CCC[C@H](/C=C/[C@@H]2[C@@H]3[C@@H](C)OC(=O)[C@@H]3C[C@@H]3CCCC[C@H]32)N1C'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/[C@@H]3CCC[C@@H](C)N3C)[C@@H]12'
 'C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@H]3[C@H](/C=C/[C@H]3CCC[C@H](C)N3C)[C@@H]12']"
3,1595,1,4,3,355,"{'BCXQZFAVVLDMBN-QAMZGPAESA-N', 'BCXQZFAVVLDMBN-NABSFZLASA-N', 'BCXQZFAVVLDMBN-WCZDJTHUSA-N', 'BCXQZFAVVLDMBN-ZLOGYFEASA-N'}","{'BCXQZFAVVLDMBN-OUXYOPTFSA-N', 'BCXQZFAVVLDMBN-FPTVWWPHSA-N', 'BCXQZFAVVLDMBN-SVXLQISOSA-N'}","['C[C@@H](c1ccc2ccccc2c1)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC1=O'
 'C[C@@H](c1ccc2ccccc2c1)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC1=O'
 'C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H]([C@H](C)c2ccc3ccccc3c2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC1=O'
 'C[C@@H](c1ccc2ccccc2c1)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC1=O']","['C[C@@H](c1ccc2ccccc2c1)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC1=O'
 'C[C@@H](c1ccc2ccccc2c1)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC1=O'
 'C[C@@H](c1ccc2ccccc2c1)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC1=O']"
3,1651,1,3,4,1049,"{'FRPRNNRJTCONEC-QIJUGHKUSA-N', 'FRPRNNRJTCONEC-STZQEDGTSA-N', 'FRPRNNRJTCONEC-NYVOZVTQSA-N'}","{'FRPRNNRJTCONEC-YUXAGFNASA-N', 'FRPRNNRJTCONEC-COPCDDAFSA-N', 'FRPRNNRJTCONEC-BWAGFHJFSA-N', 'FRPRNNRJTCONEC-VLCRHTCISA-N'}","['CCC(=O)N(c1ccccc1)[C@H]1CCN(C[C@H](O)c2ccccc2)C[C@@H]1C'
 'CCC(=O)N(c1ccccc1)[C@@H]1CCN(C[C@H](O)c2ccccc2)C[C@H]1C'
 'CCC(=O)N(c1ccccc1)[C@@H]1CCN(C[C@@H](O)c2ccccc2)C[C@H]1C']","['CCC(=O)N(c1ccccc1)[C@@H]1CCN(C[C@H](O)c2ccccc2)C[C@@H]1C'
 'CCC(=O)N(c1ccccc1)[C@H]1CCN(C[C@H](O)c2ccccc2)C[C@H]1C'
 'CCC(=O)N(c1ccccc1)[C@@H]1CCN(C[C@@H](O)c2ccccc2)C[C@@H]1C'
 'CCC(=O)N(c1ccccc1)[C@H]1CCN(C[C@@H](O)c2ccccc2)C[C@@H]1C']"
3,1680,1,3,4,1837,"{'FRPRNNRJTCONEC-COPCDDAFSA-N', 'FRPRNNRJTCONEC-QIJUGHKUSA-N', 'FRPRNNRJTCONEC-BWAGFHJFSA-N'}","{'FRPRNNRJTCONEC-YUXAGFNASA-N', 'FRPRNNRJTCONEC-STZQEDGTSA-N', 'FRPRNNRJTCONEC-NYVOZVTQSA-N', 'FRPRNNRJTCONEC-VLCRHTCISA-N'}","['CCC(=O)N(c1ccccc1)[C@@H]1CCN(C[C@H](O)c2ccccc2)C[C@@H]1C'
 'CCC(=O)N(c1ccccc1)[C@H]1CCN(C[C@H](O)c2ccccc2)C[C@H]1C'
 'CCC(=O)N(c1ccccc1)[C@@H]1CCN(C[C@H](O)c2ccccc2)C[C@H]1C']","['CCC(=O)N(c1ccccc1)[C@H]1CCN(C[C@H](O)c2ccccc2)C[C@@H]1C'
 'CCC(=O)N(c1ccccc1)[C@@H]1CCN(C[C@@H](O)c2ccccc2)C[C@H]1C'
 'CCC(=O)N(c1ccccc1)[C@@H]1CCN(C[C@@H](O)c2ccccc2)C[C@@H]1C'
 'CCC(=O)N(c1ccccc1)[C@H]1CCN(C[C@@H](O)c2ccccc2)C[C@@H]1C']"
